document,sentiment
... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .,neg
"Not only are the film 's Sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .",neg
"At times , the movie looks genuinely pretty .",pos
To say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor .,neg
Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,neg
"Contrived , maudlin and cliche-ridden ... if this sappy script was the best the contest received , those rejected must have been astronomically bad .",neg
Mr. Koshashvili is a director to watch .,pos
It 's all surface psychodramatics .,neg
"What I saw , I enjoyed .",pos
"With an unflappable air of decadent urbanity , Everett remains a perfect Wildean actor , and a relaxed Firth displays impeccable comic skill .",pos
"A triumph , a film that hews out a world and carries us effortlessly from darkness to light .",pos
"The production design , score and choreography are simply intoxicating .",pos
"A long , dull procession of despair , set to cello music culled from a minimalist funeral .",neg
"... by the time it 's done with us , Mira Nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .",pos
Another Best of the Year selection .,pos
The problem is the needlessly poor quality of its archival prints and film footage .,neg
"The first Tunisian film I have ever seen , and it 's also probably the most good-hearted yet sensual entertainment I 'm likely to see all year .",pos
You 'll cry for your money back .,neg
"Both shrill and soporific , and because everything is repeated five or six times , it can seem tiresomely simpleminded .",neg
It 's as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet ? '',neg
"Aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships .",neg
"Muccino , who directed from his own screenplay , is a canny crowd pleaser , and The Last Kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .",pos
"Big Fat Liar is little more than Home Alone raised to a new , self-deprecating level .",neg
A mean-spirited film made by someone who surely read The Catcher in the Rye but clearly suffers from dyslexia,neg
"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",neg
"More than anything else , Kissing Jessica Stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again .",pos
"It 's a stale , overused cocktail using the same olives since 1962 as garnish .",neg
"It 's a lovely , sad dance highlighted by Kwan 's unique directing style .",pos
"If you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this Oscar-nominated documentary takes you there .",pos
"Be forewarned , if you 're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards .",neg
So bland and utterly forgettable that it might as well have been titled Generic Jennifer Lopez Romantic Comedy .,neg
The most horrific movie experience I 've had since `` Ca n't Stop The Music . '',neg
... pays tribute to heroes the way Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .,neg
"If you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash .",neg
"Shanghai Ghetto may not be as dramatic as Roman Polanski 's The Pianist , but its compassionate spirit soars every bit as high .",pos
"Bray is completely at sea ; with nothing but a Savage Garden music video on his resume , he has no clue about making a movie .",neg
"Even as I valiantly struggled to remain interested , or at least conscious , I could feel my eyelids ... getting ... very ... heavy ...",neg
It 's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more .,pos
Nearly every attempt at humor here is DOA .,neg
A plodding teen remake that 's so mechanical you can smell the grease on the plot twists .,neg
"That , in itself , is extraordinary .",pos
"It 's super - violent , super-serious and super-stupid .",neg
"Humorless , self-conscious art drivel , made without a glimmer of intelligence or invention .",neg
The history is fascinating ; the action is dazzling .,pos
The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D .,pos
"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .",neg
"And thanks to Kline 's superbly nuanced performance , that pondering is highly pleasurable .",pos
A movie version of a paint-by-numbers picture .,neg
It 's so devoid of joy and energy it makes even Jason X ... look positively Shakesperean by comparison .,neg
"Evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention .",neg
"While Parker and co-writer Catherine di Napoli are faithful to Melville 's plotline , they and a fully engaged supporting cast ... have made the old boy 's characters more quick-witted than any English Lit major would have thought possible .",pos
"It is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story .",pos
`` Interview '' loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into .,neg
Get out your pooper-scoopers .,neg
"Its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",pos
"This picture is murder by numbers , and as easy to be bored by as your ABC 's , despite a few whopping shootouts .",neg
"With Spy Kids 2 : The Island of Lost Dreams , however , Robert Rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .",pos
"Be prepared to cling to the edge of your seat , tense with suspense .",pos
Morton deserves an Oscar nomination .,pos
"No Such Thing is sort of a minimalist Beauty and the Beast , but in this case the Beast should definitely get top billing .",pos
"-LRB- Kline 's -RRB- utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who ca n't quite live up to it .",pos
"In a summer overrun with movies dominated by CGI aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway .",pos
A straight-shooting family film which awards animals the respect they 've rarely been given .,pos
"Demonstrates the unusual power of thoughtful , subjective filmmaking .",pos
"McKay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service .",neg
"As a director , Paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .",pos
An almost unbearably morbid love story .,neg
The Sweetest Thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,neg
"Some writer dude , I think his name was , uh , Michael Zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that I ever saw that was written down were the zeroes on my paycheck .",neg
"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",pos
But one thing 's for sure : It never comes close to being either funny or scary .,neg
It 's the brilliant surfing photography bringing you right inside the massive waves that lifts Blue Crush into one of the summer 's most pleasurable movies .,pos
"unpretentious , charming , quirky , original",pos
Narc is a no-bull throwback to 1970s action films .,pos
"Leave it to John Sayles to take on developers , the Chamber of Commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .",pos
"This enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",pos
"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .",pos
The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',neg
Feels strangely hollow at its emotional core .,neg
You 'll just have your head in your hands wondering why Lee 's character did n't just go to a bank manager and save everyone the misery .,neg
"Even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... you almost do n't notice the 129-minute running time .",pos
"The performers are so spot on , it is hard to conceive anyone else in their roles .",pos
"As averse as I usually am to feel-good , follow-your-dream Hollywood fantasies , this one got to me .",pos
Sex With Strangers is fascinating ...,pos
"These three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .",pos
A poignant comedy that offers food for thought .,pos
Majidi 's direction has never been smoother or more confident .,pos
"An empty , purposeless exercise .",neg
The Trials of Henry Kissinger is a remarkable piece of filmmaking ... because you get it .,pos
"Quite simply , a joy to watch and -- especially -- to listen to .",pos
It 's a fun adventure movie for kids -LRB- of all ages -RRB- that like adventure .,pos
This is an interesting movie ! '',pos
The picture emerges as a surprisingly anemic disappointment .,neg
"It should be doing a lot of things , but does n't .",neg
Intriguing and downright intoxicating .,pos
Scherfig 's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,pos
A major waste ... generic .,neg
This movie plays like an extended dialogue exercise in Retard 101 .,neg
"As warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",pos
"Although the sequel has all the outward elements of the original , the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",neg
"Boy , has this franchise ever run out of gas .",neg
An odd drama set in the world of lingerie models and bar dancers in the Midwest that held my interest precisely because it did n't try to .,pos
What ultimately makes Windtalkers a disappointment is the superficial way it deals with its story .,neg
Horrible .,neg
"Despite bearing the Paramount imprint , it 's a bargain-basement European pickup .",neg
I have to admit I walked out of Runteldat .,neg
So putrid it is not worth the price of the match that should be used to burn every print of the film .,neg
A pleasant piece of escapist entertainment .,pos
Fudges fact and fancy with such confidence that we feel as if we 're seeing something purer than the real thing .,pos
Gives everyone something to shout about .,pos
Elvira fans could hardly ask for more .,pos
"Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",pos
There 's none of the happily-ever - after spangle of Monsoon Wedding in Late Marriage -- and that 's part of what makes Dover Kosashvili 's outstanding feature debut so potent .,pos
"Unspeakable , of course , barely begins to describe the plot and its complications .",neg
See it .,pos
The lively appeal of The Last Kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy .,pos
"Hard , endearing , caring , warm .",pos
Every conceivable mistake a director could make in filming opera has been perpetrated here .,neg
"The notion of deleting emotion from people , even in an advanced Prozac Nation , is so insanely dysfunctional that the rampantly designed Equilibrium becomes a concept doofus .",neg
"From the choppy editing to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line , `` Besotted '' is misbegotten",neg
may prove to be -LRB- Tsai 's -RRB- masterpiece .,pos
Even the hastily and amateurishly drawn animation can not engage .,neg
"The wonder of Mostly Martha is the performance of Gedeck , who makes Martha enormously endearing .",pos
"The overall effect is awe and affection -- and a strange urge to get on a board and , uh , shred , dude .",pos
"The storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",pos
Has all the scenic appeal of a cesspool .,neg
A marvel of production design .,pos
"Each of these stories has the potential for Touched by an Angel simplicity and sappiness , but Thirteen Conversations About One Thing , for all its generosity and optimism , never resorts to easy feel-good sentiments .",pos
"Effective in all its aspects , Margarita Happy Hour represents an auspicious feature debut for Chaiken .",pos
... in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .,neg
"An engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .",pos
"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",neg
But Mr. Polanski creates images even more haunting than those in Mr. Spielberg 's 1993 classic .,pos
`` Abandon '' will leave you wanting to abandon the theater .,neg
Richly entertaining and suggestive of any number of metaphorical readings .,pos
The most surprising thing about this film is that they are actually releasing it into theaters .,neg
Works because Reno does n't become smug or sanctimonious towards the audience .,pos
"Soderbergh , like Kubrick before him , may not touch the planet 's skin , but understands the workings of its spirit .",pos
Utter mush ... conceited pap .,neg
Crummy .,neg
Terrible .,neg
You could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .,neg
Cool gadgets and creatures keep this fresh .,pos
"Sluggish , tonally uneven .",neg
A listless sci-fi comedy in which Eddie Murphy deploys two guises and elaborate futuristic sets to no particularly memorable effect .,neg
This pathetic junk is barely an hour long .,neg
a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome .,neg
Tiresomely derivative and hammily acted .,neg
A passionately inquisitive film determined to uncover the truth and hopefully inspire action .,pos
"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",neg
No film could possibly be more contemptuous of the single female population .,neg
"In addition to gluing you to the edge of your seat , Changing Lanes is also a film of freshness , imagination and insight .",pos
"By that measure , it is a failure .",neg
Execrable .,neg
"The obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old Hanna-Barbera charm .",neg
Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,neg
"a huge disappointment coming , as it does , from filmmakers and performers of this calibre",neg
... a pretentious mess ...,neg
Their work is fantastic .,pos
"Williams creates a stunning , Taxi Driver-esque portrayal of a man teetering on the edge of sanity .",pos
Movies like High Crimes flog the dead horse of surprise as if it were an obligation .,neg
To call this film a lump of coal would only be to flatter it .,neg
"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",neg
Tries to work in the same vein as the brilliance of Animal House but instead comes closer to the failure of the third Revenge of the Nerds sequel .,neg
The pleasure of Read My Lips is like seeing a series of perfect black pearls clicking together to form a string .,pos
"A worthy addition to the cinematic canon , which , at last count , numbered 52 different versions .",pos
... a bland murder-on-campus yawner .,neg
"It does n't take a rocket scientist to figure out that this is a Mormon family movie , and a sappy , preachy one at that .",neg
Burns ' fifth beer-soaked film feels in almost every possible way -- from the writing and direction to the soggy performances -- tossed off .,neg
"At its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture .",pos
There 's nothing to gain from watching They .,neg
As plain and pedestrian as catsup --,neg
The entire cast is extraordinarily good .,pos
Often shocking but ultimately worthwhile exploration of motherhood and desperate mothers .,pos
"Third time 's the charm ... yeah , baby !",pos
A wildly entertaining scan of Evans ' career .,pos
"Will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .",pos
"Tykwer 's surface flash is n't just a poor fit with Kieslowski 's lyrical pessimism ; it completely contradicts everything Kieslowski 's work aspired to , including the condition of art .",neg
Stay for the credits and see a devastating comic impersonation by Dustin Hoffman that is revelatory .,pos
Charlotte Sometimes is a brilliant movie .,pos
A poky and pseudo-serious exercise in sham actor workshops and an affected malaise .,neg
"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",pos
But what 's nice is that there 's a casual intelligence that permeates the script .,pos
"Hypnotically dull , relentlessly downbeat , laughably predictable wail pitched to the cadence of a depressed fifteen-year-old 's suicidal poetry .",neg
"The only problem is that , by the end , no one in the audience or the film seems to really care .",neg
Dramatically lackluster .,neg
"Even on its own ludicrous terms , The Sum of All Fears generates little narrative momentum , and invites unflattering comparisons to other installments in the Ryan series .",neg
The comedy is nonexistent .,neg
"-LRB- Hayek -RRB- throws herself into this dream Hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with Molina and she gradually makes us believe she is Kahlo .",pos
"Spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later .",pos
"A banal , virulently unpleasant excuse for a romantic comedy .",neg
"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",pos
"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",neg
"Laugh-out-loud lines , adorably ditsy but heartfelt performances , and sparkling , bittersweet dialogue that cuts to the chase of the modern girl 's dilemma .",pos
"It 's a terrible movie in every regard , and utterly painful to watch .",neg
... a weak and ineffective ghost story without a conclusion or pay off .,neg
It 's Pauly Shore awful .,neg
... a good film that must have baffled the folks in the marketing department .,pos
"Arliss Howard 's ambitious , moving , and adventurous directorial debut , Big Bad Love , meets so many of the challenges it poses for itself that one can forgive the film its flaws .",pos
"Madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like Michael Jackson 's nose .",neg
Disgusting .,neg
"The camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",pos
Make like the title and dodge this one .,neg
Marvelously entertaining and deliriously joyous documentary .,pos
A humorless journey into a philosophical void .,neg
It 's uninteresting .,neg
I loved this film .,pos
"The Bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .",pos
This beautifully animated epic is never dull .,pos
I like this movie a lot .,pos
"... an airless , prepackaged Julia Roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if Lopez 's publicist should share screenwriting credit .",neg
It 's petty thievery like this that puts flimsy flicks like this behind bars,neg
I can easily imagine Benigni 's Pinocchio becoming a Christmas perennial .,pos
"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",pos
"A finely tuned mood piece , a model of menacing atmosphere .",pos
"Haneke 's script -LRB- from Elfriede Jelinek 's novel -RRB- is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending .",neg
"You can fire a torpedo through some of Clancy 's holes , and the scripters do n't deserve any Oscars .",neg
"In all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",neg
Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza .,pos
"The Emperor 's Club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality .",pos
"This is a finely written , superbly acted offbeat thriller .",pos
How about surprising us by trying something new ?,neg
"First and foremost ... the reason to go see `` Blue Crush '' is the phenomenal , water-born cinematography by David Hennings .",pos
The Adventures of Pluto Nash is a whole lot of nada .,neg
"Stealing Harvard does n't care about cleverness , wit or any other kind of intelligent humor .",neg
"But the performances of Pacino , Williams , and Swank keep the viewer wide-awake all the way through .",pos
"With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",pos
"A lovely film ... elegant , witty and beneath a prim exterior unabashedly romantic ... hugely enjoyable in its own right though not really faithful to its source 's complexity .",pos
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',neg
"Try as you might to scrutinize the ethics of Kaufman 's approach , somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment .",pos
Provides a very moving and revelatory footnote to the Holocaust .,pos
"As predictable as the outcome of a Globetrotters-Generals game , Juwanna Mann is even more ludicrous than you 'd expect from the guy-in-a-dress genre , and a personal low for everyone involved .",neg
"What could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking .",pos
"Loosely speaking , we 're in All of Me territory again , and , strictly speaking , Schneider is no Steve Martin .",neg
"Enjoyably fast-moving , hard-hitting documentary .",pos
One of those exceedingly rare films in which the talk alone is enough to keep us involved .,pos
Those of you who are not an eighth grade girl will most likely doze off during this one .,neg
A moving story of determination and the human spirit .,pos
"In his U.S. debut , Mr. Schnitzler proves himself a deft pace master and stylist .",pos
"Once one experiences Mr. Haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else .",neg
"Ultimately the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of Martha Stewart decorating program run amok .",neg
A mechanical action-comedy whose seeming purpose is to market the charismatic Jackie Chan to even younger audiences .,neg
"The film is a hoot , and is just as good , if not better than much of what 's on Saturday morning TV especially the pseudo-educational stuff we all ca n't stand .",pos
"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .",pos
-LRB- Westbrook -RRB- makes a wonderful subject for the camera .,pos
A derivative collection of horror and sci-fi cliches .,neg
At once disarmingly straightforward and strikingly devious .,pos
Most of the dialogue made me want to pack raw dough in my ears .,neg
Final verdict : You 've seen it all before .,neg
Most of the storylines feel like time fillers between surf shots .,neg
"Visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",pos
Characterisation has been sacrificed for the sake of spectacle .,neg
"are both superb , while Huppert ... is magnificent .",pos
There 's no reason to miss Interview with the Assassin,pos
"She may not be real , but the laughs are .",pos
"Transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the X into the games .",pos
"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",neg
"We admire this film for its harsh objectivity and refusal to seek our tears , our sympathies .",pos
"As gamely as the movie tries to make sense of its title character , there remains a huge gap between the film 's creepy , clean-cut Dahmer -LRB- Jeremy Renner -RRB- and fiendish acts that no amount of earnest textbook psychologizing can bridge .",neg
"Due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a TelePrompTer .",neg
"You 'll forget about it by Monday , though , and if they 're old enough to have developed some taste , so will your kids .",neg
"A fresh , entertaining comedy that looks at relationships minus traditional gender roles .",pos
"That Jack Nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .",pos
Steven Spielberg brings us another masterpiece,pos
"More than their unique residences , Home Movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it .",pos
Rifkin 's references are ... impeccable throughout .,pos
Nothing about this movie works .,neg
The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,neg
"Well-acted , well-directed and , for all its moodiness , not too pretentious .",pos
Diaz wears out her welcome in her most charmless performance,neg
... overly melodramatic ...,neg
"It would be churlish to begrudge anyone for receiving whatever consolation that can be found in Dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction .",neg
And it 's a lousy one at that .,neg
"Shot largely in small rooms , the film has a gentle , unforced intimacy that never becomes claustrophobic .",pos
"While the story is better-focused than the incomprehensible Anne Rice novel it 's based upon , Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",neg
"It 's an exhilarating place to visit , this laboratory of laughter .",pos
"Take away the controversy , and it 's not much more watchable than a Mexican soap opera .",neg
"The film 's trailer also looked like crap , so crap is what I was expecting .",neg
But the second half of the movie really goes downhill .,neg
"I guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen .",neg
"A film centering on a traditional Indian wedding in contemporary New Delhi may not sound like specialized fare , but Mira Nair 's film is an absolute delight for all audiences .",pos
Takes a simple premise and carries it to unexpected heights .,pos
"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .",neg
"As satisfyingly odd and intriguing a tale as it was a century and a half ago ... has a delightfully dour , deadpan tone and stylistic consistency .",pos
"The title , alone , should scare any sane person away .",neg
"Manipulative claptrap , a period-piece movie-of-the-week , plain old blarney ... take your pick .",neg
frustratingly refuses to give Pinochet 's crimes a political context,neg
Definitely worth 95 minutes of your time .,pos
Men in Black II achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as Whiffle-Ball epic .,neg
"Every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .",pos
The Irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,neg
"See Scratch for the history , see Scratch for the music , see Scratch for a lesson in scratching , but , most of all , see it for the passion .",pos
"A stupid , derivative horror film that substitutes extreme gore for suspense .",neg
"It 's a compelling and horrifying story , and The Laramie Project is worthwhile for reminding us that this sort of thing does , in fact , still happen in America .",pos
"... the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",neg
"... once the true impact of the day unfolds , the power of this movie is undeniable .",pos
The movie is a desperate miscalculation .,neg
The characters are paper thin and the plot is so cliched and contrived that it makes your least favorite James Bond movie seem as cleverly plotted as The Usual Suspects .,neg
The attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,neg
All the movie 's narrative gymnastics ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling .,neg
It 's fitting that a movie as artificial and soulless as The Country Bears owes its genesis to an animatronic display at Disneyland .,neg
You 'll find yourself wishing that you and they were in another movie .,neg
Pair that with really poor comedic writing ... and you 've got a huge mess .,neg
Even better than the first one !,pos
"Bill Morrison 's Decasia is uncompromising , difficult and unbearably beautiful .",pos
Moving and vibrant .,pos
"Clever and unflinching in its comic barbs , Slap Her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",pos
"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",pos
It makes even Elizabeth Hurley seem graceless and ugly .,neg
"A wild , endearing , masterful documentary .",pos
Sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .,neg
"Nothing sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams .",neg
"A colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .",pos
"Sparkling , often hilarious romantic jealousy comedy ... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called ` My Husband Is Travis Bickle ' .",pos
"An intelligent , multi-layered and profoundly humanist -LRB- not to mention gently political -RRB- meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .",pos
"It 's a frightful vanity film that , no doubt , pays off what debt Miramax felt they owed to Benigni .",neg
Working from a surprisingly sensitive script co-written by Gianni Romoli ... Ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,pos
"Broomfield is energized by Volletta Wallace 's maternal fury , her fearlessness , and because of that , his film crackles .",pos
"It all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense .",neg
Starts as an intense political and psychological thriller but is sabotaged by ticking time bombs and other Hollywood-action cliches .,neg
"It 's as sorry a mess as its director 's diabolical debut , Mad Cows .",neg
A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,pos
"The art direction and costumes are gorgeous and finely detailed , and Kurys ' direction is clever and insightful .",pos
The only thing `` swept away '' is the one hour and thirty-three minutes spent watching this waste of time .,neg
"The entire cast is first-rate , especially Sorvino .",pos
One of the most highly-praised disappointments I 've had the misfortune to watch in quite some time .,neg
An Asian neo-realist treasure .,pos
"Young Hanks and Fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work .",pos
"A sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire .",pos
"A gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost .",pos
"Borstal Boy represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy .",neg
"A gratingly unfunny groaner littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups .",neg
"It 's hard to imagine anyone managing to steal a movie not only from charismatic rising star Jake Gyllenhaal but also from accomplished Oscar winners Susan Sarandon , Dustin Hoffman and Holly Hunter , yet newcomer Ellen Pompeo pulls off the feat with aplomb .",pos
"This is a story that zings all the way through with originality , humour and pathos .",pos
"-LRB- Swimfan -RRB- falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting .",neg
A small movie with a big impact .,pos
The most ingenious film comedy since Being John Malkovich .,pos
A movie of riveting power and sadness .,pos
"Another week , another gross-out college comedy -- ugh .",neg
... a triumph of emotionally and narratively complex filmmaking .,pos
"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",pos
"-LRB- N -RRB- o matter how much good will the actors generate , Showtime eventually folds under its own thinness .",neg
It 's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on Oprah .,neg
"The heedless impetuousness of youth is on full , irritating display in -LRB- this -RRB- meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot .",neg
The problem with ANTWONE FISHER is that it has a screenplay written by Antwone Fisher based on the book by Antwone Fisher .,neg
"Congrats Disney on a job well done , I enjoyed it just as much !",pos
Eric Schweig and Graham Greene both exude an air of dignity that 's perfect for the proud warrior that still lingers in the souls of these characters .,pos
"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement .",pos
"Except it 's much , much better .",pos
"This quiet , introspective and entertaining independent is worth seeking .",pos
May cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .,neg
Staggeringly dreadful romance .,neg
It 's pretentious in a way that verges on the amateurish .,neg
It 's a barely tolerable slog over well-trod ground .,neg
"The result is a powerful , naturally dramatic piece of low-budget filmmaking .",pos
"Maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back .",neg
"The misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .",neg
